iter	Passed	Remaining
0	43	131812
1	86	129616
2	129	129077
3	170	127832
4	207	124070
5	244	122247
6	281	120299
7	320	119714
8	357	118769
9	396	118409
10	433	117910
11	472	117565
12	508	116919
13	546	116582
14	583	116117
15	624	116550
16	667	117082
17	705	116924
18	743	116683
19	782	116551
20	821	116558
21	858	116179
22	895	115962
23	932	115653
24	971	115589
25	1007	115222
26	1047	115331
27	1082	114910
28	1124	115215
29	1160	114915
30	1195	114501
31	1233	114429
32	1270	114205
33	1305	113854
34	1340	113581
35	1375	113246
36	1413	113232
37	1450	113097
38	1486	112849
39	1524	112816
40	1560	112587
41	1596	112405
42	1633	112302
43	1670	112209
44	1712	112473
45	1751	112460
46	1790	112496
47	1827	112397
48	1866	112380
49	1903	112285
50	1942	112299
51	1977	112131
52	2014	112028
53	2051	111913
54	2087	111761
55	2123	111647
56	2162	111636
57	2197	111464
58	2234	111365
59	2272	111368
60	2308	111232
61	2345	111138
62	2383	111131
63	2420	111062
64	2457	110962
65	2494	110880
66	2543	111327
67	2584	111453
68	2623	111445
69	2662	111442
70	2698	111308
71	2734	111222
72	2772	111148
73	2808	111057
74	2845	110959
75	2882	110910
76	2919	110821
77	2954	110682
78	2995	110775
79	3034	110741
80	3078	110937
81	3118	110959
82	3154	110853
83	3190	110743
84	3228	110734
85	3266	110665
86	3302	110562
87	3346	110741
88	3382	110618
89	3423	110689
90	3460	110625
91	3500	110635
92	3536	110538
93	3575	110549
94	3612	110466
95	3650	110421
96	3692	110521
97	3729	110431
98	3765	110327
99	3803	110288
100	3844	110361
101	3881	110282
102	3923	110361
103	3959	110260
104	4001	110327
105	4038	110270
106	4074	110176
107	4118	110280
108	4165	110470
109	4207	110537
110	4244	110475
111	4280	110385
112	4322	110443
113	4361	110426
114	4403	110474
115	4447	110566
116	4483	110481
117	4525	110529
118	4564	110506
119	4607	110575
120	4645	110542
121	4686	110557
122	4730	110645
123	4766	110541
124	4809	110627
125	4846	110553
126	4882	110461
127	4926	110532
128	4968	110584
129	5007	110559
130	5050	110616
131	5093	110660
132	5138	110765
133	5179	110777
134	5225	110889
135	5271	111017
136	5313	111048
137	5350	110967
138	5398	111114
139	5440	111151
140	5481	111137
141	5522	111153
142	5570	111292
143	5611	111288
144	5652	111297
145	5703	111486
146	5739	111391
147	5783	111441
148	5818	111336
149	5855	111261
150	5894	111224
151	5942	111342
152	5982	111318
153	6021	111280
154	6064	111314
155	6100	111222
156	6143	111239
157	6185	111255
158	6223	111206
159	6273	111353
160	6321	111462
161	6363	111479
162	6403	111457
163	6442	111414
164	6486	111443
165	6522	111352
166	6562	111323
167	6604	111330
168	6643	111282
169	6690	111371
170	6728	111310
171	6765	111239
172	6804	111190
173	6846	111192
174	6881	111079
175	6922	111070
176	6966	111102
177	7005	111061
178	7045	111040
179	7084	110996
180	7124	110956
181	7164	110935
182	7214	111059
183	7257	111075
184	7297	111034
185	7338	111021
186	7377	110975
187	7422	111023
188	7462	110987
189	7504	110985
190	7551	111051
191	7592	111043
192	7631	110999
193	7671	110964
194	7713	110950
195	7752	110913
196	7794	110908
197	7836	110892
198	7876	110862
199	7914	110800
200	7957	110808
201	7994	110741
202	8033	110693
203	8074	110674
204	8115	110647
205	8154	110600
206	8193	110548
207	8232	110503
208	8269	110436
209	8308	110386
210	8348	110351
211	8389	110327
212	8431	110325
213	8482	110427
214	8528	110478
215	8570	110465
216	8611	110444
217	8653	110435
218	8692	110387
219	8732	110343
220	8772	110308
221	8814	110302
222	8870	110457
223	8909	110409
224	8954	110440
225	8997	110434
226	9047	110527
227	9087	110485
228	9130	110477
229	9167	110409
230	9205	110346
231	9245	110304
232	9295	110390
233	9334	110334
234	9371	110270
235	9412	110235
236	9445	110116
237	9484	110066
238	9525	110044
239	9562	109971
240	9601	109917
241	9638	109843
242	9676	109789
243	9718	109774
244	9761	109769
245	9800	109717
246	9838	109655
247	9876	109600
248	9925	109655
249	9971	109690
250	10011	109648
251	10050	109599
252	10089	109544
253	10131	109532
254	10174	109522
255	10217	109514
256	10254	109450
257	10295	109415
258	10332	109352
259	10365	109238
260	10404	109183
261	10442	109129
262	10482	109093
263	10528	109116
264	10568	109070
265	10610	109056
266	10655	109067
267	10698	109065
268	10735	108994
269	10778	108982
270	10820	108960
271	10856	108884
272	10898	108861
273	10935	108794
274	10976	108771
275	11022	108784
276	11061	108737
277	11101	108694
278	11140	108645
279	11180	108607
280	11216	108532
281	11257	108498
282	11298	108474
283	11338	108430
284	11381	108421
285	11422	108394
286	11460	108336
287	11494	108235
288	11538	108237
289	11576	108177
290	11614	108126
291	11648	108030
292	11692	108021
293	11731	107974
294	11772	107952
295	11809	107881
296	11848	107833
297	11888	107797
298	11927	107742
299	11971	107741
300	12010	107695
301	12051	107664
302	12089	107608
303	12128	107556
304	12165	107495
305	12204	107450
306	12255	107502
307	12293	107446
308	12332	107397
309	12376	107400
310	12416	107353
311	12456	107314
312	12495	107270
313	12538	107253
314	12579	107225
315	12617	107170
316	12661	107161
317	12701	107121
318	12741	107087
319	12782	107056
320	12815	106954
321	12857	106930
322	12894	106871
323	12933	106817
324	12975	106796
325	13022	106813
326	13072	106862
327	13121	106894
328	13162	106857
329	13202	106822
330	13240	106763
331	13279	106719
332	13318	106669
333	13352	106580
334	13391	106529
335	13428	106469
336	13468	106430
337	13515	106441
338	13559	106439
339	13604	106435
340	13643	106385
341	13684	106352
342	13732	106375
343	13773	106346
344	13816	106327
345	13862	106330
346	13907	106330
347	13948	106297
348	13986	106241
349	14027	106209
350	14074	106223
351	14114	106177
352	14152	106120
353	14191	106077
354	14229	106021
355	14275	106023
356	14315	105986
357	14359	105972
358	14392	105881
359	14437	105877
360	14476	105829
361	14515	105775
362	14559	105763
363	14599	105727
364	14641	105700
365	14686	105693
366	14726	105651
367	14773	105662
368	14822	105686
369	14859	105623
370	14900	105591
371	14943	105570
372	14983	105524
373	15023	105487
374	15062	105440
375	15107	105433
376	15153	105430
377	15196	105407
378	15235	105365
379	15276	105329
380	15315	105279
381	15354	105232
382	15398	105215
383	15444	105216
384	15486	105185
385	15531	105178
386	15572	105147
387	15614	105118
388	15655	105079
389	15697	105049
390	15740	105028
391	15772	104936
392	15816	104920
393	15858	104890
394	15897	104842
395	15941	104827
396	15990	104843
397	16029	104796
398	16071	104768
399	16112	104729
400	16152	104687
401	16199	104689
402	16247	104702
403	16293	104699
404	16336	104674
405	16384	104680
406	16426	104650
407	16466	104612
408	16504	104556
409	16546	104526
410	16587	104486
411	16626	104441
412	16664	104385
413	16712	104395
414	16746	104312
415	16789	104288
416	16828	104241
417	16862	104162
418	16900	104106
419	16934	104026
420	16976	103996
421	17019	103972
422	17061	103941
423	17099	103888
424	17139	103844
425	17181	103813
426	17221	103770
427	17258	103711
428	17305	103709
429	17342	103653
430	17380	103599
431	17421	103562
432	17462	103527
433	17508	103517
434	17546	103465
435	17587	103429
436	17628	103393
437	17669	103352
438	17710	103316
439	17749	103267
440	17788	103221
441	17832	103202
442	17873	103165
443	17911	103113
444	17952	103074
445	17993	103040
446	18040	103038
447	18079	102991
448	18120	102953
449	18161	102912
450	18208	102912
451	18257	102922
452	18302	102905
453	18339	102845
454	18382	102820
455	18425	102794
456	18471	102786
457	18510	102736
458	18551	102701
459	18596	102684
460	18640	102666
461	18686	102655
462	18726	102610
463	18765	102560
464	18807	102531
465	18850	102502
466	18889	102455
467	18926	102399
468	18967	102357
469	19011	102339
470	19048	102280
471	19087	102229
472	19126	102185
473	19165	102136
474	19209	102112
475	19248	102063
476	19287	102014
477	19336	102020
478	19374	101969
479	19414	101928
480	19455	101890
481	19491	101826
482	19536	101808
483	19574	101757
484	19616	101724
485	19660	101700
486	19699	101651
487	19741	101621
488	19782	101584
489	19833	101594
490	19874	101560
491	19917	101529
492	19950	101451
493	19990	101407
494	20027	101350
495	20064	101293
496	20102	101241
497	20141	101192
498	20181	101148
499	20221	101105
500	20261	101063
501	20299	101014
502	20342	100986
503	20384	100950
504	20423	100904
505	20469	100892
506	20511	100858
507	20555	100833
508	20592	100780
509	20629	100720
510	20669	100677
511	20706	100620
512	20752	100607
513	20789	100552
514	20829	100508
515	20869	100463
516	20908	100415
517	20948	100373
518	20985	100318
519	21029	100294
520	21067	100240
521	21114	100231
522	21157	100203
523	21198	100167
524	21242	100143
525	21288	100128
526	21327	100082
527	21368	100042
528	21404	99983
529	21444	99940
530	21490	99923
531	21530	99884
532	21574	99860
533	21613	99811
534	21653	99768
535	21695	99735
536	21737	99702
537	21778	99662
538	21818	99618
539	21855	99564
540	21896	99525
541	21935	99476
542	21973	99425
543	22019	99413
544	22059	99367
545	22098	99323
546	22138	99279
547	22178	99237
548	22216	99187
549	22258	99149
550	22299	99115
551	22346	99102
552	22384	99048
553	22424	99009
554	22466	98972
555	22511	98951
556	22548	98899
557	22589	98860
558	22629	98814
559	22669	98776
560	22708	98727
561	22751	98696
562	22791	98655
563	22832	98618
564	22871	98572
565	22910	98521
566	22953	98494
567	22995	98457
568	23039	98432
569	23082	98402
570	23123	98363
571	23164	98327
572	23202	98275
573	23244	98242
574	23283	98193
575	23323	98152
576	23360	98099
577	23399	98052
578	23447	98042
579	23482	97980
580	23527	97955
581	23567	97915
582	23605	97862
583	23643	97814
584	23684	97774
585	23723	97726
586	23764	97689
587	23805	97649
588	23845	97607
589	23883	97557
590	23925	97523
591	23966	97484
592	24011	97462
593	24053	97428
594	24090	97374
595	24131	97334
596	24176	97311
597	24214	97263
598	24253	97218
599	24296	97184
600	24337	97147
601	24376	97102
602	24421	97077
603	24461	97036
604	24499	96984
605	24538	96939
606	24576	96890
607	24615	96842
608	24658	96811
609	24700	96778
610	24748	96764
611	24786	96716
612	24827	96677
613	24867	96633
614	24921	96648
615	24967	96627
616	25007	96586
617	25050	96553
618	25092	96519
619	25132	96475
620	25172	96432
621	25216	96404
622	25260	96377
623	25299	96334
624	25338	96287
625	25375	96232
626	25419	96204
627	25458	96158
628	25496	96109
629	25540	96082
630	25580	96038
631	25618	95986
632	25656	95936
633	25695	95891
634	25745	95888
635	25789	95860
636	25830	95820
637	25870	95778
638	25912	95741
639	25951	95696
640	25989	95646
641	26036	95630
642	26074	95579
643	26113	95532
644	26155	95496
645	26191	95442
646	26232	95401
647	26275	95370
648	26315	95328
649	26353	95277
650	26395	95241
651	26436	95203
652	26479	95170
653	26523	95143
654	26562	95097
655	26604	95062
656	26648	95035
657	26690	94999
658	26731	94961
659	26781	94952
660	26822	94911
661	26861	94867
662	26901	94826
