KEY,DATE,TIME,MDA,TIME_CLK,TIME_TURN,ADV_COST,REWARD_COST,MDA_COST,CVR,1000_W_EFFICIENCY,SCH_KEY,NAME,SAVE_WAY,GUIDE,OS_TYPE,REJOIN_TYPE,CONTRACT_PRICE,START_DATE,END_DATE,START_QUARTER,START_TIME,RPT_TYPE,MDA_ARR,TURN_GOAL,TURN_REAL
122297,2024-12-20,1970-01-01 00:00:07.000,532,13,0,0,0,0,0.00,,535436,KB차차차,최초 오픈,"최초 \'앱 오픈\'하면 리워드 지급!
(신규 유저만 참여 가능)

01.\'참여하기\' 버튼 터치하고 마켓으로 이동
02. 마켓에서 앱을내려받기
03.앱을 내려받기 후 최초오픈

※ 보안폴더를 통해 참여할 경우 리워드가 지급되지 않습니다.",ANDROID,NONE,230,2024-12-02 15:49:50.000,9999-12-31 23:59:59.000,4Q,AFTERNOON,A,ALL,100000,2166
152081,2025-04-18,1970-01-01 00:00:05.000,676,12,0,0,0,0,0.00,,591579,[접속하기] 편의점 정리왕,접속하기,"최초 접속하면

[참여방법] 
- 앱에 최초 접속하시면 리워드가 지급됩니다.

[주의사항] 
- 이미 접속한 이력이 있는 경우에는 리워드가 지급되지 않습니다. 
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.",ANDROID,NONE,230,2025-02-03 16:32:03.000,9999-12-31 23:59:59.000,1Q,AFTERNOON,A,ALL,100000,12327
165820,2025-03-02,1970-01-01 00:00:14.000,634,1,1,13,4,9,100.00,76.9230,618199,예그리나베개 맞추기 3.2,퀴즈 맞추기,"리뷰클릭후 주소창 복사붙여넣어 맞추기

사진을 참고해서 해당상품 클릭해보세요!．
연동딜레이로 인해 제목과 광고내용이 
다르게 보이는 현상이 있는 경우 
안내이미지에 맞춰서 정답을 맞춰주세요

1. 사진을 참고해서 해당상품 클릭하고 상품 구경하기

2. 리뷰 버튼 클릭하고 상품리뷰 구경하기

3. 상단의 주소창을 복사해서 정답란에 붙여넣기

4. 적립완료

* 부정적인 방법을 사용하시는 회원님들은 
적립금환수와 광고참여가 정지됩니다
*광고가 아닌 실제순위에서 클릭해서 
퀴즈에 참여하셔야합니다.",WEB,NONE,13,2025-03-02 13:02:55.000,9999-12-31 23:59:59.000,1Q,AFTERNOON,A,ALL,100000,56
163775,2025-02-27,1970-01-01 00:00:23.000,761,4,2,36,24,24,50.00,55.5560,614144,[정답입력]일회용우비 남자우비 아동,네이버 쇼핑 상품번호 입력하기,"[참여 방법] 
1. 광고 참여 버튼 터치하여 이벤트 페이지로 이동 
2. 이벤트 페이지 상세 설명 확인하여 참여 

[유의사항]
- 최초 참여자 대상입니다.
- 7일 이내 참여해야 포인트가 지급됩니다.
- 포인트 지급까지 최대 10분까지도 소요될 수 있습니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.",WEB,ADS_CODE_DAILY_UPDATE,18,2025-02-27 22:35:44.000,9999-12-31 23:59:59.000,1Q,EVENING,A,ALL,100000,73
258170,2025-04-03,1970-01-01 00:00:18.000,371,1,1,18,12,12,100.00,55.5560,826581,스피드랙 철제선반 ... (검색 후 퀴즈맞추기) 7963,쇼핑 퀴즈 맞추기,"[참여 방법] 
1. 광고 참여 버튼 터치하여 이벤트 페이지로 이동 
2. 이벤트 페이지 상세 설명 확인하여 참여 

[유의사항]
- 최초 참여자 대상입니다.
- 7일 이내 참여해야 포인트가 지급됩니다.
- 포인트 지급까지 최대 10분까지도 소요될 수 있습니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.",WEB,NONE,18,2025-04-03 00:30:16.000,9999-12-31 23:59:59.000,2Q,EARLY MORNING,A,ALL,100000,55
140119,2025-01-16,1970-01-01 00:00:18.000,761,6,0,0,0,0,0.00,,566785,홍스쭈꾸미 홍대본점,퀴즈 맞추기,"[참여 방법]
        
1. 이벤트 페이지에서 참여 방법 확인하기
        
2. [검색어 복사] 버튼 클릭하기
        
3. [저장하러 가기] 버튼 클릭하기
        
4. 키워드를 붙여 넣고 검색하기
        
5. 플레이스 내 장소를 저장하고 스크린샷 캡처하기
        
6. 이벤트페이지에 돌아와 업체 플레이스 스크린샷 제출하기 (최초 1회만 참여 가능)
        

[주의 사항]
        
· 30일 이내에 저장하기를 해제할 경우, 이후 광고 참여가 제한됩니다.
        
· 1인 1회 참여 가능합니다.",WEB,NONE,20,2025-01-16 18:02:34.000,9999-12-31 23:59:59.000,1Q,EVENING,A,ALL,100000,7
110017,2024-10-29,1970-01-01 00:00:02.000,54,1,1,16,8,8,100.00,62.5000,514047,전복명가 (검색 후 플레이스 URL 입력),퀴즈 정답 맞추기,"[참여 방법]
- 플레이스진입후 [지도] → [리뷰] 누른 후 브라우저의 주소창에
URL주소를 복사해서 정답입력란에 붙여넣기 해주세요
(반드시 [지도] → [리뷰] 순서대로 눌러야 정답으로 인식됩니다.)",WEB,NONE,16,2024-10-25 17:14:45.000,9999-12-31 23:59:59.000,4Q,AFTERNOON,A,ALL,100000,26
115769,2024-11-23,1970-01-01 00:00:10.000,806,2,2,460,180,360,100.00,4.3480,524883,우리동네GS,최초 오픈,"[참여 방법]
1. 광고 참여 버튼 터치하여 마켓으로 이동
2. App 최초 오픈 후 광고 추적허용 동의 (IOS필수)

[유의사항]
- 최초 참여자 대상입니다.
- 7일 이내 참여해야 포인트가 지급됩니다.
- 광고 추적허용 동의하지 않은 경우 적립되지 않습니다. (iOS 한정)
- 이미 참여한 이력이 있다면 포인트가 지급되지 않습니다.
- 포인트 지급까지 최대 10분까지도 소요될 수 있습니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.",ANDROID,NONE,230,2024-11-14 14:26:52.000,9999-12-31 23:59:59.000,4Q,AFTERNOON,A,ALL,100000,40706
155322,2025-02-22,1970-01-01 00:00:09.000,371,2,0,0,0,0,0.00,,597503,우리동네GS,최초 오픈,"[참여방법]
- 앱에 접속하시면 리워드가 지급됩니다.

[주의사항]
- 리워드 적립에 최대 한 시간 소요될 수 있습니다.
- 이미 다른 서비스에서 참여한 이력이 있다면 리워드가 지급되지 않습니다.
- 리워드 지급 관련 문의사항은 문의하기를 통해 접수해주시길 바랍니다.
- 아이폰의 경우 추적 허용 후 캠페인에 참여하실 수 있습니다.",ANDROID,NONE,230,2025-02-13 15:59:36.000,9999-12-31 23:59:59.000,1Q,AFTERNOON,A,ALL,100000,6038
169966,2025-03-10,1970-01-01 00:00:13.000,562,2,1,18,14,14,50.00,55.5560,625845,[정답입력]마포 한정식,네이버 플레이스 장소명 입력하기,"[참여 방법] 
1. 광고 참여 버튼 터치하여 이벤트 페이지로 이동 
2. 이벤트 페이지 상세 설명 확인하여 참여 

[유의사항]
- 최초 참여자 대상입니다.
- 7일 이내 참여해야 포인트가 지급됩니다.
- 포인트 지급까지 최대 10분까지도 소요될 수 있습니다.
- WIFI가 아닌 환경에서는 데이터 이용료가 발생할 수 있습니다.",WEB,ADS_CODE_DAILY_UPDATE,18,2025-03-08 15:24:33.000,9999-12-31 23:59:59.000,1Q,AFTERNOON,A,ALL,100000,469
118225,2024-11-25,1970-01-01 00:00:14.000,371,1,1,15,10,10,100.00,66.6670,529349,캣매트 고양이화장실 모래매트 맞추기 11.22,퀴즈 맞추기,"리뷰클릭후 주소창 복사붙여넣어 맞추기

사진을 참고해서 해당상품 클릭해보세요!．
연동딜레이로 인해 제목과 광고내용이 
다르게 보이는 현상이 있는 경우 
안내이미지에 맞춰서 정답을 맞춰주세요

1. 사진을 참고해서 해당상품 클릭하고 상품 구경하기

2. 리뷰 버튼 클릭하고 상품리뷰 구경하기

3. 상단의 주소창을 복사해서 정답란에 붙여넣기

4. 적립완료

* 부정적인 방법을 사용하시는 회원님들은 
적립금환수와 광고참여가 정지됩니다
*광고가 아닌 실제순위에서 클릭해서 
퀴즈에 참여하셔야합니다.",WEB,NONE,15,2024-11-22 15:09:15.000,9999-12-31 23:59:59.000,4Q,AFTERNOON,A,ALL,100000,54
